"Date","Price","Open","High","Low","Vol.","Change %"
"10/20/2024","2,747.69","2,721.71","2,758.53","2,708.79","","1.01%"
"10/13/2024","2,720.25","2,657.21","2,722.87","2,638.31","","2.42%"
"10/06/2024","2,656.00","2,651.20","2,661.55","2,604.15","","0.14%"
"09/29/2024","2,652.25","2,658.30","2,673.20","2,624.78","","-0.22%"
"09/22/2024","2,657.97","2,621.81","2,685.96","2,613.60","","1.37%"
"09/15/2024","2,621.96","2,578.06","2,625.79","2,546.98","","1.76%"
"09/08/2024","2,576.50","2,497.32","2,586.18","2,485.60","","3.18%"
"09/01/2024","2,497.03","2,502.74","2,529.30","2,471.95","","-0.24%"
"08/25/2024","2,503.03","2,511.43","2,529.15","2,493.66","","-0.36%"
"08/18/2024","2,512.07","2,508.40","2,532.05","2,470.86","","0.19%"
"08/11/2024","2,507.28","2,431.21","2,509.89","2,423.84","","3.14%"
"08/04/2024","2,430.93","2,443.27","2,458.80","2,364.40","","-0.51%"
"07/28/2024","2,443.29","2,387.20","2,477.72","2,369.77","","2.42%"
"07/21/2024","2,385.57","2,400.41","2,432.05","2,353.19","","-0.63%"
"07/14/2024","2,400.79","2,409.50","2,483.78","2,393.92","","-0.43%"
"07/07/2024","2,411.27","2,391.77","2,424.62","2,349.59","","0.83%"
"06/30/2024","2,391.46","2,326.46","2,393.04","2,318.55","","2.83%"
"06/23/2024","2,325.71","2,321.60","2,339.79","2,293.70","","0.23%"
"06/16/2024","2,320.34","2,332.20","2,368.85","2,306.63","","-0.52%"
"06/09/2024","2,332.52","2,296.00","2,341.70","2,287.31","","1.74%"
"06/02/2024","2,292.71","2,329.61","2,387.85","2,286.77","","-1.47%"
"05/26/2024","2,326.97","2,334.50","2,364.12","2,321.64","","-0.29%"
"05/19/2024","2,333.76","2,415.02","2,450.13","2,325.40","","-3.36%"
"05/12/2024","2,414.89","2,362.70","2,422.87","2,332.34","","2.32%"
"05/05/2024","2,360.14","2,302.50","2,378.45","2,291.79","","2.55%"
"04/28/2024","2,301.56","2,337.50","2,346.85","2,277.47","","-1.55%"
"04/21/2024","2,337.72","2,388.20","2,388.72","2,291.40","","-2.21%"
"04/14/2024","2,390.45","2,343.86","2,417.79","2,324.59","","2.01%"
"04/07/2024","2,343.43","2,322.00","2,431.53","2,302.86","","0.60%"
"03/31/2024","2,329.50","2,239.59","2,330.34","2,228.54","","4.35%"
"03/24/2024","2,232.38","2,165.79","2,235.90","2,163.50","","3.15%"
"03/17/2024","2,164.15","2,156.00","2,222.90","2,146.05","","0.40%"
"03/10/2024","2,155.54","2,177.71","2,189.04","2,150.59","","-1.01%"
"03/03/2024","2,177.51","2,082.09","2,195.20","2,079.45","","4.52%"
"02/25/2024","2,083.39","2,034.49","2,088.40","2,024.56","","2.34%"
"02/18/2024","2,035.72","2,013.16","2,041.43","2,011.57","","1.12%"
"02/11/2024","2,013.10","2,024.53","2,030.05","1,984.30","","-0.55%"
"02/04/2024","2,024.16","2,039.91","2,044.65","2,014.40","","-0.71%"
"01/28/2024","2,038.59","2,019.40","2,065.42","2,017.38","","1.00%"
"01/21/2024","2,018.34","2,029.90","2,037.92","2,010.15","","-0.53%"
"01/14/2024","2,029.09","2,048.09","2,059.25","2,001.91","","-0.96%"
"01/07/2024","2,048.72","2,044.08","2,062.35","2,013.32","","0.16%"
"12/31/2023","2,045.50","2,062.90","2,079.02","2,024.49","","-0.83%"
"12/24/2023","2,062.59","2,055.73","2,088.54","2,053.59","","0.47%"
"12/17/2023","2,052.98","2,020.09","2,070.65","2,015.99","","1.72%"
"12/10/2023","2,018.19","2,003.60","2,047.98","1,973.09","","0.74%"
"12/03/2023","2,003.39","2,071.25","2,135.90","1,994.74","","-3.26%"
"11/26/2023","2,070.90","2,002.78","2,075.34","2,000.67","","3.44%"
"11/19/2023","2,001.97","1,980.39","2,007.52","1,965.20","","1.11%"
"11/12/2023","1,980.01","1,937.05","1,993.94","1,931.73","","2.23%"
"11/05/2023","1,936.79","1,992.30","1,993.30","1,933.18","","-2.78%"
"10/29/2023","1,992.27","2,004.80","2,007.82","1,969.90","","-0.67%"
