date,today_state_of_the_economy,tomorrow_state_of_the_economy,next_week_state_of_the_economy,direction,magnitude
2016-08-14,0,0,5.5,UP,0.42
2016-08-21,0,0,-45.6,DOWN,1.52
2016-08-28,0,-86.3,-65,UP,0.28
2016-09-04,0,0,44.2,UP,0.24
2016-09-11,0,0,5.5,DOWN,1.33
2016-09-18,0,0,-14.9,UP,2.07
2016-09-25,0,0,-0.62,DOWN,1.62
2016-10-02,0,0,-18,DOWN,4.48
2016-10-09,0,0,5,DOWN,0.51
2016-10-16,0,0,-5.5,UP,1.3
2016-10-23,0,0,-30.1,UP,0.75
2016-10-30,0,0,17.67,UP,2.19
2016-11-06,0,0,27,DOWN,6.02
2016-11-13,0,0,-65.5,DOWN,1.39
2016-11-20,0,0,12.62,DOWN,2.07
2016-11-27,0,0,22.33,DOWN,0.57
2016-12-04,0,0,52.71,DOWN,1.62
2016-12-11,0,0,5.5,DOWN,2.05
2016-12-18,0,0,65.5,DOWN,0.05
2016-12-25,0,0,-0.28,UP,1.62
2017-01-01,0,0,-41.4,UP,1.82
2017-01-08,0,0,37.75,UP,2.12
2017-01-15,0,0,5.5,UP,1.03
2017-01-22,0,0,67.78,DOWN,1.52
2017-01-29,0,0,25,UP,2.37
2017-02-05,0,0,2.75,UP,1.17
2017-02-12,0,0,5.5,UP,0.09
2017-02-19,0,0,-14.9,UP,1.75
2017-02-26,0,0,6.58,DOWN,1.8
2017-03-05,0,0,3.37,DOWN,2.41
2017-03-12,0,0,65.5,UP,2.04
2017-03-19,0,0,-32.43,UP,1.22
2017-03-26,0,0,-15.38,UP,0.4
2017-04-02,0,0,-9.29,UP,0.39
2017-04-09,0,0,5.5,UP,2.52
2017-04-16,0,0,-65.5,DOWN,0.09
2017-04-23,0,0,-7.67,DOWN,1.27
2017-04-30,0,-90,-20.83,DOWN,3.19
2017-05-07,0,0,-65.5,UP,0.09
2017-05-14,0,0,-65.5,UP,2.17
2017-05-21,0,0,10.94,UP,0.92
2017-05-28,0,0,-25,UP,1.02
2017-06-04,0,0,3.5,DOWN,1.06
2017-06-11,0,0,5.5,DOWN,1.01
2017-06-18,0,0,14.9,UP,0.26
2017-06-25,0,0,51.78,DOWN,1.22
2017-07-02,0,0,-23.83,DOWN,2.31
2017-07-09,0,0,-5.5,UP,1.33
2017-07-16,0,0,5.5,UP,2.11
2017-07-23,0,0,10.46,UP,1.14
2017-07-30,0,0,67,DOWN,0.84
2017-08-06,0,0,65.5,UP,2.43
2017-08-13,0,0,5.5,DOWN,0.37
2017-08-20,0,0,-47.2,UP,0.52
