date,today_state_of_the_economy,tomorrow_state_of_the_economy,next_week_state_of_the_economy,direction,magnitude
2014-07-01,50,40,20,UP,0.04
2014-07-02,40,-37.5,20,UP,0.19
2014-07-03,-37.5,0,20,UP,0.31
2014-07-04,0,0,20,UP,0.07
2014-07-07,0,35,22.67,DOWN,0.06
2014-07-08,35,-40,22.67,DOWN,0.05
2014-07-09,-40,50,22.67,DOWN,0.24
2014-07-10,50,0,22.67,UP,0.18
2014-07-11,0,0,22.67,UP,0.07
2014-07-14,0,37.5,-15,UP,0.00
2014-07-15,37.5,10,-15,UP,0.25
2014-07-16,10,12,-15,UP,0.21
2014-07-17,12,45,-15,DOWN,0.07
2014-07-18,45,0,-15,UP,0.02
2014-07-21,0,5,-4.71,UP,0.05
2014-07-22,5,-40,-4.71,UP,0.27
2014-07-23,-40,-20,-4.71,UP,0.05
2014-07-24,-20,0,-4.71,UP,0.06
2014-07-25,0,-40,-4.71,UP,0.20
2014-07-28,-40,-16.67,8.33,UP,0.00
2014-07-29,-16.67,-17.5,8.33,UP,0.22
2014-07-30,-17.5,10,8.33,UP,0.27
2014-07-31,10,8.33,8.33,UP,0.04
2014-08-01,8.33,0,8.33,DOWN,0.20
2014-08-04,0,25,-4,UP,0.04
2014-08-05,25,5,-4,UP,0.00
2014-08-06,5,-5,-4,UP,0.14
2014-08-07,-5,0,-4,UP,0.10
2014-08-08,0,0,-4,DOWN,0.09
2014-08-11,0,5,15.56,UP,0.02
2014-08-12,5,40,15.56,UP,0.04
2014-08-13,40,-5,15.56,UP,0.12
2014-08-14,-5,-16,15.56,DOWN,0.01
2014-08-15,-16,0,15.56,DOWN,0.21
2014-08-18,0,17.5,0.77,UP,0.20
2014-08-19,17.5,40,0.77,UP,0.37
2014-08-20,40,7.5,0.77,UP,0.43
2014-08-21,7.5,0,0.77,DOWN,0.10
2014-08-22,0,50,0.77,UP,0.23
2014-08-25,50,-16.67,10.91,UP,0.26
2014-08-26,-16.67,-40,10.91,UP,0.12
2014-08-27,-40,-2.5,10.91,DOWN,0.27
2014-08-28,-2.5,15,10.91,UP,0.06
2014-08-29,15,0,10.91,UP,0.33
2014-09-01,0,-70,36.25,UP,0.00
2014-09-02,-70,-30,36.25,UP,0.29
2014-09-03,-30,-6.67,36.25,DOWN,0.16
2014-09-04,-6.67,86.67,36.25,UP,1.16
2014-09-05,86.67,0,36.25,DOWN,0.10
2014-09-08,0,35,-9.17,UP,0.59
2014-09-09,35,40,-9.17,UP,0.06
2014-09-10,40,5,-9.17,UP,0.00
2014-09-11,5,56.67,-9.17,UP,0.02
2014-09-12,56.67,50,-9.17,DOWN,0.07
2014-09-15,50,-50,-7,UP,0.02
2014-09-16,-50,-23.33,-7,DOWN,0.23
2014-09-17,-23.33,-8,-7,UP,0.32
2014-09-18,-8,0,-7,DOWN,0.02
2014-09-19,0,40,-7,UP,0.49
2014-09-22,40,30,-15.33,UP,0.02
2014-09-23,30,45,-15.33,DOWN,0.11
2014-09-24,45,-55,-15.33,UP,0.45
