date,today_state_of_the_economy,tomorrow_state_of_the_economy,next_week_state_of_the_economy,direction,magnitude
2016-03-14,0,15,-28.33,UP,0.47
2016-03-15,15,-16,-28.33,UP,0.01
2016-03-16,-16,2,-28.33,DOWN,0.77
2016-03-17,2,45,-28.33,DOWN,1.18
2016-03-18,45,-40,-28.33,UP,0.35
2016-03-21,-40,-30,20,UP,0.21
2016-03-22,-30,5,20,UP,0.38
2016-03-23,5,-55,20,UP,0.42
2016-03-24,-55,0,20,UP,0.09
2016-03-25,0,50,20,DOWN,0.04
2016-03-28,50,30,4.29,DOWN,0.21
2016-03-29,30,-10,4.29,DOWN,0.81
2016-03-30,-10,-5,4.29,DOWN,0.34
2016-03-31,-5,32,4.29,DOWN,0.26
2016-04-01,32,0,4.29,UP,0.03
2016-04-04,0,15,36.92,DOWN,0.12
2016-04-05,15,-40,36.92,UP,0.13
2016-04-06,-40,5,36.92,DOWN,0.21
2016-04-07,5,0,36.92,UP,0.05
2016-04-08,0,0,36.92,DOWN,0.26
2016-04-11,0,-30,6.25,DOWN,0.30
2016-04-12,-30,52,6.25,UP,0.01
2016-04-13,52,20,6.25,UP,0.83
2016-04-14,20,47.5,6.25,UP,0.17
2016-04-15,47.5,0,6.25,DOWN,0.21
2016-04-18,0,6.67,-17.14,DOWN,0.22
2016-04-19,6.67,40,-17.14,DOWN,0.54
2016-04-20,40,-16.67,-17.14,UP,0.54
2016-04-21,-16.67,0,-17.14,UP,0.12
2016-04-22,0,50,-17.14,UP,0.55
2016-04-25,50,-16.67,-10,DOWN,0.29
2016-04-26,-16.67,-40,-10,DOWN,0.28
2016-04-27,-40,-30,-10,DOWN,0.19
2016-04-28,-30,-10,-10,DOWN,0.67
2016-04-29,-10,-70,-10,DOWN,0.73
2016-05-02,-70,-30,48.18,DOWN,0.48
2016-05-03,-30,27.5,48.18,UP,0.33
2016-05-04,27.5,-55,48.18,UP,0.26
2016-05-05,-55,0,48.18,UP,0.64
2016-05-06,0,0,48.18,UP,0.12
2016-05-09,0,-5,25.83,UP,0.26
2016-05-10,-5,40,25.83,UP,0.17
2016-05-11,40,55,25.83,DOWN,0.50
2016-05-12,55,65,25.83,UP,0.35
2016-05-13,65,-40,25.83,UP,0.49
2016-05-16,-40,33.33,-6.67,DOWN,0.04
2016-05-17,33.33,-40,-6.67,DOWN,0.02
2016-05-18,-40,50,-6.67,UP,0.56
2016-05-19,50,40,-6.67,UP,0.22
2016-05-20,40,0,-6.67,UP,0.04
2016-05-23,0,-10,4.67,DOWN,0.10
2016-05-24,-10,40,4.67,UP,0.36
2016-05-25,40,23.33,4.67,DOWN,0.23
2016-05-26,23.33,-50,4.67,DOWN,0.19
2016-05-27,-50,0,4.67,UP,0.37
2016-05-30,0,32.5,1.43,UP,0.00
2016-05-31,32.5,-50,1.43,UP,0.39
2016-06-01,-50,-2.5,1.43,DOWN,0.46
2016-06-02,-2.5,10,1.43,UP,0.12
2016-06-03,10,0,1.43,DOWN,1.60
2016-06-06,0,30,-16.43,DOWN,0.14
2016-06-07,30,40,-16.43,DOWN,0.07
2016-06-08,40,-5,-16.43,DOWN,0.26
2016-06-09,-5,-45,-16.43,UP,0.38
2016-06-10,-45,0,-16.43,UP,0.66
2016-06-13,0,-63.33,7.14,DOWN,0.22
2016-06-14,-63.33,2.5,7.14,UP,0.60
2016-06-15,2.5,-8,7.14,DOWN,0.34
2016-06-16,-8,-5,7.14,DOWN,0.04
2016-06-17,-5,0,7.14,DOWN,0.38
2016-06-20,0,0,-11,DOWN,0.64
2016-06-21,0,40,-11,UP,0.44
2016-06-22,40,20,-11,DOWN,0.32
2016-06-23,20,-45,-11,DOWN,0.20
2016-06-24,-45,0,-11,UP,2.05
2016-06-27,0,-13.33,15.71,UP,1.14
2016-06-28,-13.33,-23.33,15.71,DOWN,0.30
2016-06-29,-23.33,-23.33,15.71,DOWN,0.50
2016-06-30,-23.33,70,15.71,UP,0.39
2016-07-01,70,0,15.71,DOWN,0.51
2016-07-04,0,0,-17.5,UP,0.00
2016-07-05,0,65,-17.5,UP,0.54
2016-07-06,65,-10,-17.5,DOWN,0.12
2016-07-07,-10,5,-17.5,UP,0.29
2016-07-08,5,0,-17.5,DOWN,0.03
2016-07-11,0,-40,8.57,UP,0.28
2016-07-12,-40,40,8.57,DOWN,0.13
2016-07-13,40,-62.5,8.57,DOWN,0.23
2016-07-14,-62.5,6.67,8.57,DOWN,0.15
2016-07-15,6.67,0,8.57,UP,0.52
2016-07-18,0,55,-1.67,DOWN,0.02
2016-07-19,55,-40,-1.67,UP,0.52
2016-07-20,-40,-2.5,-1.67,UP,0.14
2016-07-21,-2.5,0,-1.67,DOWN,0.21
2016-07-22,0,0,-1.67,UP,0.48
2016-07-25,0,-23.33,1.82,DOWN,0.18
2016-07-26,-23.33,0,1.82,DOWN,0.13
2016-07-27,0,-5,1.82,DOWN,0.11
2016-07-28,-5,12,1.82,DOWN,0.32
2016-07-29,12,-70,1.82,DOWN,1.25
2016-08-01,-70,-70,-4.55,UP,0.19
2016-08-02,-70,-26.67,-4.55,DOWN,0.68
2016-08-03,-26.67,55,-4.55,UP,0.53
2016-08-04,55,32.5,-4.55,UP,0.21
2016-08-05,32.5,0,-4.55,UP,0.45
2016-08-08,0,-30,10,UP,0.22
2016-08-09,-30,40,10,DOWN,0.23
2016-08-10,40,55,10,DOWN,0.55
2016-08-11,55,-35,10,UP,0.22
2016-08-12,-35,40,10,DOWN,0.15
2016-08-15,40,-35,-2.22,DOWN,0.09
2016-08-16,-35,40,-2.22,DOWN,0.88
2016-08-17,40,50,-2.22,DOWN,0.07
2016-08-18,50,0,-2.22,DOWN,0.59
2016-08-19,0,0,-2.22,UP,0.37
2016-08-22,0,-40,-27.69,UP,0.01
2016-08-23,-40,-40,-27.69,UP,0.02
2016-08-24,-40,-5,-27.69,UP,0.26
2016-08-25,-5,50,-27.69,DOWN,0.02
2016-08-26,50,-65,-27.69,UP,0.84
2016-08-29,-65,50,-26.67,UP,0.01
2016-08-30,50,0,-26.67,UP,0.49
2016-08-31,0,-65,-26.67,DOWN,0.03
2016-09-01,-65,-37.5,-26.67,DOWN,0.39
2016-09-02,-37.5,0,-26.67,UP,0.20
2016-09-05,0,-80,13.33,UP,0.00
2016-09-06,-80,-5,13.33,DOWN,1.06
2016-09-07,-5,-23.33,13.33,UP,0.15
2016-09-08,-23.33,0,13.33,UP,0.07
2016-09-09,0,0,13.33,UP,0.33
2016-09-12,0,-30,-7.14,DOWN,0.26
2016-09-13,-30,-40,-7.14,UP,0.57
2016-09-14,-40,11,-7.14,DOWN,0.31
2016-09-15,11,53.33,-7.14,DOWN,0.04
2016-09-16,53.33,0,-7.14,UP,0.86
2016-09-19,0,-13.33,-26.15,DOWN,0.28
2016-09-20,-13.33,-40,-26.15,UP,0.19
2016-09-21,-40,10,-26.15,DOWN,0.37
2016-09-22,10,0,-26.15,DOWN,0.22
2016-09-23,0,-50,-26.15,UP,0.03
2016-09-26,-50,-40,6,DOWN,0.19
2016-09-27,-40,-40,6,UP,0.15
2016-09-28,-40,-52.5,6,DOWN,0.01
2016-09-29,-52.5,8,6,UP,0.10
2016-09-30,8,70,6,DOWN,0.07
2016-10-03,70,-30,13.75,UP,0.24
2016-10-04,-30,-12.5,13.75,UP,0.50
2016-10-05,-12.5,-55,13.75,DOWN,0.05
2016-10-06,-55,90,13.75,UP,0.68
2016-10-07,90,0,13.75,DOWN,0.14
2016-10-10,0,0,29,UP,0.31
2016-10-11,0,-35,29,UP,0.78
2016-10-12,-35,-50,29,UP,0.29
2016-10-13,-50,70,29,DOWN,0.46
2016-10-14,70,50,29,UP,0.51
2016-10-17,50,50,-5.45,DOWN,0.13
2016-10-18,50,50,-5.45,UP,0.00
2016-10-19,50,-20,-5.45,UP,0.03
2016-10-20,-20,0,-5.45,UP,0.40
2016-10-21,0,0,-5.45,UP,0.39
2016-10-24,0,-40,-12.73,UP,0.07
2016-10-25,-40,5,-12.73,DOWN,0.04
2016-10-26,5,16.67,-12.73,DOWN,0.09
2016-10-27,16.67,-10,-12.73,UP,0.26
2016-10-28,-10,15,-12.73,DOWN,0.55
2016-10-31,15,50,30,UP,0.09
2016-11-01,50,-40,30,DOWN,0.75
2016-11-02,-40,-65,30,DOWN,0.31
2016-11-03,-65,-20,30,DOWN,0.25
2016-11-04,-20,0,30,DOWN,0.10
2016-11-07,0,35,3.33,UP,0.74
2016-11-08,35,40,3.33,UP,0.08
2016-11-09,40,5,3.33,UP,0.65
2016-11-10,5,45,3.33,UP,0.28
2016-11-11,45,0,3.33,UP,0.28
2016-11-14,0,-22.5,-5,UP,1.06
2016-11-15,-22.5,50,-5,UP,0.12
2016-11-16,50,5,-5,UP,0.18
2016-11-17,5,0,-5,UP,0.48
2016-11-18,0,0,-5,UP,0.32
2016-11-21,0,-5,-1.43,DOWN,0.16
2016-11-22,-5,-5,-1.43,DOWN,0.01
2016-11-23,-5,0,-1.43,UP,0.65
2016-11-24,0,0,-1.43,UP,0.00
2016-11-25,0,0,-1.43,DOWN,0.21
2016-11-28,0,-2.5,40,DOWN,0.16
2016-11-29,-2.5,-14,40,DOWN,0.39
2016-11-30,-14,20,40,UP,0.56
2016-12-01,20,0,40,DOWN,0.45
2016-12-02,0,80,40,DOWN,0.27
2016-12-05,80,40,5.29,DOWN,0.67
2016-12-06,40,0,5.29,UP,0.40
2016-12-07,0,55,5.29,DOWN,0.26
2016-12-08,55,45,5.29,UP,0.87
2016-12-09,45,0,5.29,UP,0.48
2016-12-12,0,-30,-11.11,DOWN,0.55
2016-12-13,-30,-5.71,-11.11,UP,0.04
2016-12-14,-5.71,38.57,-11.11,UP,0.68
2016-12-15,38.57,-55,-11.11,UP,1.24
2016-12-16,-55,0,-11.11,DOWN,0.07
2016-12-19,0,30,12.5,UP,0.18
2016-12-20,30,-40,12.5,UP,0.15
2016-12-21,-40,-35,12.5,DOWN,0.26
2016-12-22,-35,45,12.5,UP,0.07
2016-12-23,45,0,12.5,DOWN,0.08
2016-12-26,0,-10,9.09,UP,0.00
2016-12-27,-10,5,9.09,UP,0.01
2016-12-28,5,50,9.09,UP,0.27
2016-12-29,50,-40,9.09,DOWN,0.60
2016-12-30,-40,0,9.09,DOWN,0.46
2017-01-02,0,70,-2.73,UP,0.61
2017-01-03,70,30,-2.73,UP,0.37
2017-01-04,30,6,-2.73,DOWN,0.49
2017-01-05,6,-7.5,-2.73,DOWN,1.15
2017-01-06,-7.5,0,-2.73,UP,0.69
2017-01-09,0,5,26.36,DOWN,0.28
2017-01-10,5,-40,26.36,UP,0.08
2017-01-11,-40,-55,26.36,DOWN,0.23
2017-01-12,-55,18.33,26.36,DOWN,0.42
2017-01-13,18.33,0,26.36,DOWN,0.17
2017-01-16,0,-40,-5,UP,0.00
2017-01-17,-40,57.5,-5,DOWN,0.84
2017-01-18,57.5,16.67,-5,UP,0.60
2017-01-19,16.67,0,-5,UP,0.22
2017-01-20,0,0,-5,DOWN,0.41
2017-01-23,0,-35,43.85,DOWN,0.58
2017-01-24,-35,-40,43.85,UP,0.19
2017-01-25,-40,-20,43.85,DOWN,0.32
2017-01-26,-20,65,43.85,UP,0.35
2017-01-27,65,55,43.85,UP,0.15
2017-01-30,55,6.67,-5,DOWN,0.10
2017-01-31,6.67,23.33,-5,DOWN,0.92
2017-02-01,23.33,55,-5,UP,0.13
2017-02-02,55,86.67,-5,UP,0.15
2017-02-03,86.67,0,-5,UP,0.08
2017-02-06,0,6.67,-7.5,UP,0.04
2017-02-07,6.67,40,-7.5,UP,0.35
2017-02-08,40,-5,-7.5,UP,0.02
2017-02-09,-5,-45,-7.5,UP,0.37
2017-02-10,-45,0,-7.5,UP,0.15
2017-02-13,0,30,20,UP,0.16
2017-02-14,30,-10,20,UP,0.29
2017-02-15,-10,-12,20,DOWN,0.07
2017-02-16,-12,0,20,DOWN,0.73
2017-02-17,0,0,20,UP,0.51
2017-02-20,0,0,-23,UP,0.00
2017-02-21,0,35,-23,UP,0.42
2017-02-22,35,10,-23,DOWN,0.15
2017-02-23,10,20,-23,DOWN,0.17
2017-02-24,20,0,-23,UP,0.04
2017-02-27,0,-14,7.78,UP,0.04
2017-02-28,-14,-16.67,7.78,DOWN,0.01
2017-03-01,-16.67,-55,7.78,UP,0.65
2017-03-02,-55,0,7.78,UP,0.41
2017-03-03,0,0,7.78,DOWN,0.65
2017-03-06,0,40,-4.21,UP,0.10
2017-03-07,40,-40,-4.21,UP,0.17
2017-03-08,-40,-5,-4.21,UP,0.26
2017-03-09,-5,26.67,-4.21,DOWN,0.22
2017-03-10,26.67,0,-4.21,DOWN,0.59
2017-03-13,0,-36.67,1.43,UP,0.06
2017-03-14,-36.67,-11.43,1.43,UP,0.38
2017-03-15,-11.43,6.67,1.43,DOWN,0.94
2017-03-16,6.67,23.33,1.43,DOWN,0.38
2017-03-17,23.33,0,1.43,DOWN,0.06
2017-03-20,0,-35,-1.82,UP,0.11
2017-03-21,-35,-40,-1.82,DOWN,0.60
2017-03-22,-40,53.33,-1.82,DOWN,0.13
2017-03-23,53.33,0,-1.82,UP,0.08
2017-03-24,0,0,-1.82,DOWN,0.13
2017-03-27,0,3.33,-24,DOWN,0.46
2017-03-28,3.33,40,-24,UP,0.54
2017-03-29,40,-16.67,-24,UP,0.29
2017-03-30,-16.67,-20,-24,UP,0.41
2017-03-31,-20,-70,-24,DOWN,0.06
2017-04-03,-70,-10,-14.62,UP,0.19
2017-04-04,-10,-26.67,-14.62,UP,0.00
2017-04-05,-26.67,55,-14.62,UP,0.02
2017-04-06,55,-90,-14.62,UP,0.11
2017-04-07,-90,0,-14.62,UP,0.51
2017-04-10,0,5,-7,DOWN,0.16
2017-04-11,5,40,-7,DOWN,0.31
2017-04-12,40,-40,-7,UP,0.07
2017-04-13,-40,0,-7,DOWN,0.22
2017-04-14,0,-40,-7,UP,0.00
2017-04-17,-40,5,-17.27,DOWN,0.27
2017-04-18,5,-40,-17.27,DOWN,0.79
2017-04-19,-40,-16.67,-17.27,UP,0.24
2017-04-20,-16.67,40,-17.27,UP,0.04
2017-04-21,40,0,-17.27,UP,0.20
2017-04-24,0,-23.33,7.69,DOWN,0.89
2017-04-25,-23.33,40,7.69,DOWN,0.31
2017-04-26,40,-50,7.69,UP,0.27
2017-04-27,-50,-2.5,7.69,UP,0.03
2017-04-28,-2.5,-30,7.69,DOWN,0.03
2017-05-01,-30,30,9,UP,0.03
2017-05-02,30,0,9,DOWN,0.10
2017-05-03,0,20,9,UP,0.23
2017-05-04,20,33.33,9,DOWN,0.41
2017-05-05,33.33,0,9,DOWN,0.15
2017-05-08,0,-35,-8.75,UP,0.42
2017-05-09,-35,40,-8.75,UP,0.61
2017-05-10,40,7.5,-8.75,UP,0.01
2017-05-11,7.5,30,-8.75,DOWN,0.05
2017-05-12,30,40,-8.75,DOWN,0.37
2017-05-15,40,26.67,-21,DOWN,0.34
2017-05-16,26.67,-40,-21,DOWN,0.81
2017-05-17,-40,-50,-21,DOWN,0.54
2017-05-18,-50,0,-21,UP,0.31
2017-05-19,0,0,-21,DOWN,0.76
2017-05-22,0,-10,8.57,DOWN,0.16
2017-05-23,-10,0,8.57,UP,0.38
2017-05-24,0,-55,8.57,DOWN,0.11
2017-05-25,-55,-20,8.57,UP,0.01
2017-05-26,-20,0,8.57,UP,0.20
2017-05-29,0,7.5,-30,UP,0.00
2017-05-30,7.5,10,-30,DOWN,0.16
2017-05-31,10,-16,-30,DOWN,0.37
2017-06-01,-16,70,-30,UP,0.29
2017-06-02,70,-80,-30,DOWN,0.49
2017-06-05,-80,-35,-10,UP,0.08
2017-06-06,-35,-40,-10,DOWN,0.17
2017-06-07,-40,5,-10,UP,0.11
2017-06-08,5,0,-10,UP,0.18
2017-06-09,0,0,-10,UP,0.36
2017-06-12,0,-56.67,4.29,DOWN,0.13
2017-06-13,-56.67,-22,4.29,DOWN,0.18
2017-06-14,-22,10,4.29,DOWN,0.03
2017-06-15,10,23.33,4.29,UP,0.51
2017-06-16,23.33,0,4.29,DOWN,0.28
2017-06-19,0,-5,-6.67,UP,0.40
2017-06-20,-5,0,-6.67,UP,0.22
2017-06-21,0,-5,-6.67,DOWN,0.20
2017-06-22,-5,50,-6.67,UP,0.03
2017-06-23,50,0,-6.67,DOWN,0.34
2017-06-26,0,-40,26,UP,0.17
2017-06-27,-40,40,26,DOWN,1.07
2017-06-28,40,55,26,DOWN,0.39
2017-06-29,55,-56.67,26,DOWN,0.40
2017-06-30,-56.67,70,26,UP,0.00
2017-07-03,70,0,0,UP,0.62
2017-07-04,0,30,0,UP,0.00
2017-07-05,30,-3.33,0,UP,0.07
2017-07-06,-3.33,90,0,DOWN,0.51
2017-07-07,90,0,0,UP,0.22
2017-07-10,0,-35,-3.75,UP,0.01
2017-07-11,-35,-40,-3.75,DOWN,0.36
2017-07-12,-40,-7.5,-3.75,UP,0.09
2017-07-13,-7.5,23.33,-3.75,DOWN,0.03
2017-07-14,23.33,-40,-3.75,DOWN,0.61
2017-07-17,-40,-30,-10.91,DOWN,0.02
2017-07-18,-30,23.33,-10.91,DOWN,0.56
2017-07-19,23.33,-10,-10.91,UP,0.19
2017-07-20,-10,0,-10.91,DOWN,0.50
2017-07-21,0,-40,-10.91,DOWN,0.48
2017-07-24,-40,3.33,-16.67,UP,0.13
2017-07-25,3.33,5,-16.67,UP,0.07
2017-07-26,5,-5,-16.67,DOWN,0.40
2017-07-27,-5,-30,-16.67,UP,0.20
2017-07-28,-30,0,-16.67,DOWN,0.64
2017-07-31,0,-57.5,51.43,DOWN,0.43
2017-08-01,-57.5,-40,51.43,UP,0.19
2017-08-02,-40,10,51.43,DOWN,0.21
2017-08-03,10,7.5,51.43,UP,0.00
2017-08-04,7.5,0,51.43,UP,0.75
2017-08-07,0,35,18.46,DOWN,0.12
2017-08-08,35,40,18.46,UP,0.24
2017-08-09,40,60,18.46,DOWN,0.11
2017-08-10,60,70,18.46,DOWN,0.16
2017-08-11,70,0,18.46,DOWN,0.35
2017-08-14,0,42.5,-15,UP,0.37
2017-08-15,42.5,-10,-15,UP,0.47
2017-08-16,-10,2.5,-15,DOWN,0.33
2017-08-17,2.5,45,-15,UP,0.09
2017-08-18,45,0,-15,DOWN,0.20
2017-08-21,0,-30,-25,DOWN,0.36
2017-08-22,-30,-45,-25,UP,0.49
2017-08-23,-45,10,-25,DOWN,0.43
2017-08-24,10,0,-25,UP,0.14
2017-08-25,0,0,-25,DOWN,0.58
2017-08-28,0,10,-8.33,DOWN,0.57
2017-08-29,10,-46.67,-8.33,UP,0.04
2017-08-30,-46.67,-13.33,-8.33,UP,0.68
2017-08-31,-13.33,-40,-8.33,DOWN,0.23
2017-09-01,-40,0,-8.33,UP,0.15
2017-09-04,0,0,-9.23,DOWN,0.18
2017-09-05,0,33.33,-9.23,DOWN,0.42
2017-09-06,33.33,-50,-9.23,UP,0.04
2017-09-07,-50,0,-9.23,DOWN,0.68
2017-09-08,0,0,-9.23,DOWN,0.34
2017-09-11,0,-40,-21.11,UP,0.60
2017-09-12,-40,60,-21.11,DOWN,0.02
2017-09-13,60,-27.5,-21.11,UP,0.70
2017-09-14,-27.5,-30,-21.11,DOWN,0.43
2017-09-15,-30,0,-21.11,DOWN,0.27
2017-09-18,0,-30,-16.36,UP,0.20
2017-09-19,-30,40,-16.36,DOWN,0.28
2017-09-20,40,-50,-16.36,UP,0.78
2017-09-21,-50,0,-16.36,DOWN,0.35
2017-09-22,0,0,-16.36,DOWN,0.02
2017-09-25,0,0,-12.22,UP,0.52
2017-09-26,0,40,-12.22,UP,0.35
2017-09-27,40,-55,-12.22,UP,0.42
2017-09-28,-55,-50,-12.22,DOWN,0.30
2017-09-29,-50,-70,-12.22,UP,0.00
2017-10-02,-70,0,13.08,UP,0.52
2017-10-03,0,0,13.08,UP,0.01
2017-10-04,0,-13.33,13.08,DOWN,0.12
2017-10-05,-13.33,0,13.08,UP,0.53
2017-10-06,0,0,13.08,DOWN,0.17
2017-10-09,0,0,1,DOWN,0.14
2017-10-10,0,-35,1,DOWN,0.41
2017-10-11,-35,22,1,DOWN,0.29
2017-10-12,22,21.67,1,UP,0.04
2017-10-13,21.67,-40,1,UP,0.03
2017-10-16,-40,45,-5,UP,0.24
2017-10-17,45,-23.33,-5,UP,0.21
2017-10-18,-23.33,23.33,-5,DOWN,0.16
2017-10-19,23.33,-40,-5,DOWN,0.21
2017-10-20,-40,0,-5,UP,0.58
2017-10-23,0,-30,7.86,UP,0.26
2017-10-24,-30,-45,7.86,DOWN,0.18
2017-10-25,-45,10,7.86,DOWN,0.06
2017-10-26,10,10,7.86,UP,0.96
2017-10-27,10,70,7.86,UP,0.33
2017-10-30,70,17.5,-12,DOWN,0.38
2017-10-31,17.5,3.33,-12,DOWN,0.01
2017-11-01,3.33,-5,-12,UP,0.27
2017-11-02,-5,-7.5,-12,DOWN,0.13
2017-11-03,-7.5,0,-12,UP,0.26
2017-11-06,0,5,-7.14,DOWN,0.19
2017-11-07,5,40,-7.14,UP,0.16
2017-11-08,40,-55,-7.14,DOWN,0.04
2017-11-09,-55,0,-7.14,DOWN,0.45
2017-11-10,0,0,-7.14,DOWN,0.05
2017-11-13,0,-36.67,28.33,UP,0.11
2017-11-14,-36.67,-46,28.33,DOWN,0.70
2017-11-15,-46,32.5,28.33,DOWN,0.02
2017-11-16,32.5,55,28.33,UP,0.13
2017-11-17,55,0,28.33,DOWN,0.29
2017-11-20,0,35,-26,UP,0.45
2017-11-21,35,25,-26,DOWN,0.14
2017-11-22,25,0,-26,DOWN,0.78
2017-11-23,0,0,-26,UP,0.00
2017-11-24,0,-50,-26,DOWN,0.47
2017-11-27,-50,-16.67,0,UP,0.13
2017-11-28,-16.67,6.67,0,UP,0.40
2017-11-29,6.67,-55,0,DOWN,0.12
2017-11-30,-55,-70,0,DOWN,0.12
2017-12-01,-70,0,0,DOWN,0.17
2017-12-04,0,0,-11.67,UP,0.32
2017-12-05,0,-40,-11.67,UP,0.20
2017-12-06,-40,-5,-11.67,UP,0.25
2017-12-07,-5,22.5,-11.67,UP,0.20
2017-12-08,22.5,-40,-11.67,UP,0.11
2017-12-11,-40,-50,6,DOWN,0.03
2017-12-12,-50,36.67,6,UP,0.25
2017-12-13,36.67,-2.5,6,DOWN,0.71
2017-12-14,-2.5,-50,6,UP,0.06
2017-12-15,-50,0,6,UP,0.47
2017-12-18,0,-25,-7.5,DOWN,0.26
2017-12-19,-25,0,-7.5,DOWN,0.27
2017-12-20,0,-20,-7.5,DOWN,0.14
2017-12-21,-20,54,-7.5,DOWN,0.03
2017-12-22,54,0,-7.5,UP,0.08
2017-12-25,0,30,22,UP,0.00
2017-12-26,30,-40,22,DOWN,0.10
2017-12-27,-40,7.5,22,DOWN,0.25
2017-12-28,7.5,0,22,DOWN,0.46
2017-12-29,0,0,22,DOWN,0.52
2018-01-01,0,0,-39,UP,0.33
2018-01-02,0,-50,-39,DOWN,0.27
2018-01-03,-50,47.5,-39,UP,0.32
2018-01-04,47.5,32.5,-39,DOWN,0.34
2018-01-05,32.5,0,-39,UP,0.11
2018-01-08,0,5,-9.09,UP,0.45
2018-01-09,5,-40,-9.09,UP,0.18
2018-01-10,-40,-32.5,-9.09,DOWN,0.22
2018-01-11,-32.5,-76.67,-9.09,DOWN,0.52
2018-01-12,-76.67,0,-9.09,DOWN,0.96
2018-01-15,0,-40,-5,UP,0.00
2018-01-16,-40,15,-5,DOWN,0.64
2018-01-17,15,-30,-5,UP,0.17
2018-01-18,-30,45,-5,DOWN,0.04
2018-01-19,45,0,-5,UP,0.08
2018-01-22,0,-30,-9.29,DOWN,0.19
2018-01-23,-30,-40,-9.29,DOWN,0.31
2018-01-24,-40,-20,-9.29,DOWN,1.01
2018-01-25,-20,65,-9.29,UP,0.20
2018-01-26,65,-70,-9.29,DOWN,0.36
2018-01-29,-70,30,21.43,UP,0.27
2018-01-30,30,-20,21.43,DOWN,0.17
2018-01-31,-20,-26.67,21.43,DOWN,0.03
2018-02-01,-26.67,14,21.43,DOWN,0.52
2018-02-02,14,80,21.43,UP,0.59
2018-02-05,80,13.33,-17.65,UP,0.40
2018-02-06,13.33,40,-17.65,UP,0.03
2018-02-07,40,-5,-17.65,UP,0.75
2018-02-08,-5,0,-17.65,DOWN,0.02
2018-02-09,0,0,-17.65,UP,0.23
2018-02-12,0,-30,20,DOWN,0.25
2018-02-13,-30,-36,20,DOWN,0.57
2018-02-14,-36,-1.43,20,DOWN,0.65
2018-02-15,-1.43,-20,20,DOWN,0.59
2018-02-16,-20,0,20,UP,0.58
2018-02-19,0,0,-7.14,UP,0.00
2018-02-20,0,35,-7.14,UP,0.70
2018-02-21,35,10,-7.14,UP,0.31
2018-02-22,10,0,-7.14,DOWN,0.29
2018-02-23,0,50,-7.14,UP,0.16
2018-02-26,50,-3.33,-27,DOWN,0.03
2018-02-27,-3.33,5,-27,UP,0.57
2018-02-28,5,-62.5,-27,UP,0.28
2018-03-01,-62.5,45,-27,DOWN,0.32
2018-03-02,45,-80,-27,DOWN,0.42
2018-03-05,-80,-30,0.63,UP,0.16
2018-03-06,-30,-16.67,0.63,DOWN,0.51
2018-03-07,-16.67,-5,0.63,UP,0.02
2018-03-08,-5,-33.33,0.63,UP,0.60
2018-03-09,-33.33,0,0.63,DOWN,0.10
2018-03-12,0,50,18.75,DOWN,0.22
2018-03-13,50,12,18.75,DOWN,0.26
2018-03-14,12,-16.67,18.75,UP,0.04
2018-03-15,-16.67,-16.67,18.75,UP,0.49
2018-03-16,-16.67,0,18.75,UP,0.10
2018-03-19,0,-30,-11.82,DOWN,0.51
2018-03-20,-30,30,-11.82,UP,0.67
2018-03-21,30,5,-11.82,DOWN,0.65
2018-03-22,5,50,-11.82,UP,0.09
2018-03-23,50,0,-11.82,DOWN,0.42
2018-03-26,0,-3.33,0,DOWN,0.50
2018-03-27,-3.33,-20,0,UP,0.34
2018-03-28,-20,-12,0,UP,0.82
2018-03-29,-12,0,0,UP,0.10
2018-04-02,-70,30,-12,UP,0.09
2018-04-03,30,-26.67,-12,UP,0.17
2018-04-04,-26.67,13.33,-12,DOWN,0.07
2018-04-05,13.33,26.67,-12,UP,0.36
2018-04-06,26.67,0,-12,DOWN,0.39
2018-04-09,0,-50,11,DOWN,0.30
2018-04-10,-50,33.33,11,DOWN,0.28
2018-04-11,33.33,5,11,DOWN,0.02
2018-04-12,5,-43.33,11,UP,0.20
2018-04-13,-43.33,20,11,UP,0.06
2018-04-16,20,-10,14.17,DOWN,0.42
2018-04-17,-10,40,14.17,UP,0.11
2018-04-18,40,23.33,14.17,UP,0.11
2018-04-19,23.33,0,14.17,UP,0.36
2018-04-20,0,40,14.17,UP,0.42
2018-04-23,40,-25,3.57,UP,0.70
2018-04-24,-25,40,3.57,DOWN,0.20
2018-04-25,40,55,3.57,UP,0.44
2018-04-26,55,20,3.57,UP,0.43
2018-04-27,20,38,3.57,DOWN,0.02
2018-04-30,38,-70,-20,UP,0.33
2018-05-01,-70,0,-20,UP,0.66
2018-05-02,0,-60,-20,UP,0.06
2018-05-03,-60,85,-20,DOWN,0.11
2018-05-04,85,0,-20,UP,0.17
2018-05-07,0,-40,-30,UP,0.19
2018-05-08,-40,-33.33,-30,UP,0.40
2018-05-09,-33.33,7.5,-30,DOWN,0.09
2018-05-10,7.5,-45,-30,DOWN,0.42
2018-05-11,-45,0,-30,DOWN,0.12
2018-05-14,0,-13.33,7.14,UP,0.05
2018-05-15,-13.33,-52.5,7.14,UP,0.68
2018-05-16,-52.5,-16.67,7.14,UP,0.18
2018-05-17,-16.67,0,7.14,UP,0.09
2018-05-18,0,0,7.14,UP,0.18
2018-05-21,0,30,20.91,UP,0.04
2018-05-22,30,45,20.91,DOWN,0.07
