iteration,timestamp,accuracy,samples,w_VPRWG,w_ZBEYU,w_GKORG,w_JCDYM,w_LUXEM,w_EEWPQ,w_PIIRP,w_YHIYY,w_MXSBY,w_ASXLP,w_YFVMV,w_FCHGZ,w_RQUMP,w_ISFDE,w_YPAXY,w_LUNIH,w_LIFLX,w_HKJPS,w_WDLPA,w_ZORRY,w_HMUGW,w_ZVAPL,w_ALMVK,w_BRHWF,w_BZLYI,w_IEDWO,w_XWBVZ,w_ZJOIV,w_FLPVV
21,2026-01-09T21:03:46.375607,0.5391304347826087,574,4.0,3.0,6.0,6.0,3.0,4.0,6.0,6.0,4.0,3.0,4.0,6.0,6.0,6.0,4.0,5.0,5.0,7.0,6.0,7.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,6.0
22,2026-01-09T21:03:52.388499,0.5826086956521739,574,4.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,8.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,6.0
23,2026-01-09T21:03:58.375472,0.5652173913043478,574,4.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,3.0,5.0,6.0,7.0,5.0,6.0,5.0,4.0,6.0,7.0,6.0,8.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,3.0,5.0
24,2026-01-09T21:04:04.385014,0.5391304347826087,574,4.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,3.0,5.0,6.0,5.0,7.0,4.0,5.0,5.0,7.0,5.0,8.0,5.0,7.0,7.0,5.0,6.0,6.0,5.0,2.0,7.0
25,2026-01-09T21:04:10.362806,0.5391304347826087,574,4.0,4.0,5.0,6.0,4.0,5.0,6.0,5.0,3.0,4.0,5.0,6.0,5.0,6.0,6.0,4.0,5.0,8.0,5.0,8.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,3.0,5.0
26,2026-01-09T21:04:16.914416,0.5565217391304348,574,5.0,5.0,6.0,6.0,5.0,5.0,7.0,5.0,3.0,4.0,5.0,7.0,5.0,6.0,5.0,5.0,6.0,7.0,5.0,7.0,5.0,6.0,6.0,5.0,5.0,7.0,5.0,3.0,5.0
27,2026-01-09T21:04:22.946993,0.5652173913043478,574,4.0,4.0,6.0,6.0,4.0,5.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,8.0,4.0,5.0,6.0,4.0,6.0,6.0,5.0,3.0,7.0
28,2026-01-09T21:04:28.987190,0.5478260869565217,574,4.0,4.0,5.0,5.0,6.0,4.0,6.0,6.0,3.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,8.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0
29,2026-01-09T21:04:34.987581,0.5391304347826087,574,5.0,4.0,5.0,6.0,4.0,5.0,6.0,7.0,3.0,3.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,8.0,4.0,7.0,6.0,5.0,6.0,5.0,5.0,3.0,6.0
30,2026-01-09T21:04:41.064761,0.5391304347826087,574,4.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,8.0,5.0,7.0,4.0,6.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0
31,2026-01-09T21:04:47.784271,0.5739130434782609,574,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,6.0,9.0,4.0,6.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0
32,2026-01-09T21:04:54.114194,0.5478260869565217,574,4.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,3.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,7.0,6.0,8.0,4.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0
33,2026-01-09T21:05:00.435270,0.5478260869565217,574,4.0,4.0,4.0,6.0,5.0,5.0,6.0,6.0,3.0,4.0,5.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,3.0,5.0
34,2026-01-09T21:05:06.805587,0.5391304347826087,574,3.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,3.0,4.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,8.0,5.0,9.0,6.0,6.0,7.0,5.0,5.0,6.0,5.0,3.0,7.0
